Altium Designer Pick and Place Locations
C:\Users\varenlutchmanen\OneDrive - UWA\UWA\Design Project\Altium\Final_PCB_v1.0\Final_PCB_v1\Project Outputs for Final_PCB_v1\Pick Place for Final_PCB.csv

========================================================================================================================
File Design Information:

Date:       09/10/25
Time:       21:42
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"PP1","C18723055","TopLayer","2541FV-2×4P","60.4520","45.5930","180","-40?~+105? 2 2.54mm 2.54mm 2x4P 3A 8P Square Hole Through Hole Top Plugin,P=2.54mm Female Headers ROHS"
"U0","LM3940IMPX-3.3/NOPB","TopLayer","FP-DCY0004A-MFG","100.7110","67.1830","180","IC REG LINEAR 3.3V 1A SOT223-4"
"C10","CL21C102JBCNNNC","TopLayer","FP-C0805C-DN-MFG","117.9710","50.4190","180","C0805 1,000 pF X7R 30ppm/°C 5.00% 50 V"
"R9","RC0603JR-07220RL","TopLayer","RESC1608X55X25LL10T15","107.9500","47.2440","0","Chip Resistor, 220 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R6","RC0603JR-1010KL","TopLayer","RESC1608X55X25LL10T15","107.9500","40.0050","0",""
"R5","AC0603FR-101KL","TopLayer","FP-AC0603-IPC_C","135.1280","36.1950","0","RES 1kO 1.00% 0.1W 0603"
"R4","AC0603FR-101KL","TopLayer","FP-AC0603-IPC_C","107.8647","50.8000","0","RES 1kO 1.00% 0.1W 0603"
"R3","RT0603BRE07200RL","TopLayer","FP-RT0603-MFG","108.2920","36.1950","180","RES SMD 200 OHM 0.1% 1/10W 0603"
"R0","RC0603FR-1022RL","TopLayer","RESC1608X55X25LL10T15","107.9500","43.6880","0",""
"C6","08055C103KAT2A","TopLayer","CAPC2013X140X50LL20T25","134.6820","38.8620","0",""
"C0","08055F103KAT2A","TopLayer","CAPC2013X140X50LL20T25","125.7300","41.8480","270",""
"B0","LTC6752IS5#TRMPBF","TopLayer","SOT95P280X100-5N","129.4130","42.5450","90","LINEAR TECHNOLOGY - LTC6752IS5#TRMPBF - Analogue Comparator, Single, High Speed, 1 Comparator, 3.4 ns, 2.45V to 3.5V, TSOT-23, 5 Pins"
